CIDADE,ESTADO,VOTOS,NOME,PARTIDO,IDADE
Abadiânia,GO,8.164,JOSÉ APARECIDO ALVES DINIZ,PP,56
Água Fria de Goiás,GO,3.879,JOSÉ EDUARDO OLIVEIRA NETO,SOLIDARIEDADE,51
Águas Lindas de Goiás,GO,67.658,LUCAS DE CARVALHO ANTONIETTI,PODE,39
Alexânia,GO,14.819,ALLYSSON SILVA LIMA,PP,35
Alto Paraíso de Goiás,GO,4.719,MARCUS ADILSON RINCO,DEM,59
Alvorada do Norte,GO,5.197,IOLANDA HOLICENI MOREIRA DOS SANTOS,DEM,45
Barro Alto,GO,7.662,ÀLVARO MACHADO DE FREITAS,MDB,61
Cabeceiras,GO,5.595,EVERTON FRANCISCO DE MATOS,PDT,40
Cavalcante,GO,5.491,VILMAR SOUZA COSTA,PSB,40
Cidade Ocidental,GO,28.670,FÁBIO CORREA DE OLIVEIRA,PP,61
Cocalzinho de Goiás,GO,11.351,ALAIR RABELO NETO,DEM,54
Corumbá de Goiás,GO,5.682,FRANCISCO ALESSANDRO FERNANDES,PL,38
Cristalina,GO,22.024,DANIEL SABINO VAZ,DEM,37
Flores de Goiás,GO,5.299,ALTRAN LOPES AVELAR NERY,DEM,35
Formosa,GO,48.454,GUSTAVO MARQUES DE OLIVEIRA,PODE,33
Goianésia,GO,39.196,LEONARDO SILVA MENEZES,DEM,43
Luziânia,GO,48.061,DIEGO VAZ SORGATTO,DEM,
Mimoso de Goiás,GO,2.611,ROSANGELA ALVES DOS REIS,DEM,39
Niquelândia,GO,19.818,FERNANDO CARNEIRO DA SILVA,PSD,52
Novo Gama ,GO,33.608,CARLOS ALVES DOS SANTOS,PL,44
Padre Bernardo,GO,13.734,JOSELEIDE LÁZARO LUIZ DA SILVA,DEM,37
Pirenípolis,GO,8.900,NIVALDO MELO,PP,
Planaltina,GO,40.201,CRISTIOMARIO DE SOUSA MEDEIROS,PSL,49
Santo Antônio do Descoberto,GO,29.245,ALEANDRO OLIVIO CALDATO,DEM,44
São João d'Aliança,GO,5.017,DÉBORA DOMINGUES CARVALHÊDO BARROS,PL,40
Simolândia,GO,4.669,ILDETE GOMES FERREIRA,DEM,59
Valparaíso,GO,56.890,PÁBIO CORREIA LOPES,MDB,41
Vila Boa,GO,2.948,RUBENS FRANCISCO LOPES,DEM,48
Vila Propício,GO,4.366,WALDILEI JOSE DE LEMOS,DEM,48
Arinos,MG,9.709,MARCÍLIO ÁLISSON FONSECA DE ALMEIDA,PODE,35
Buritis,MG,14.070,KENY SOARES RODRIGUES,PDT,53
Cabeceira Grande,MG,4.259,ELDSON AMORIM DUARTE,AVANTE,61
Unaí,MG,42.260,JOSE GOMES BRANQUINHO,PSDB,66
